Number of Bus, MW Limit:	 14	100.00
  lambdak_m	  lambdak_M	 lambda_k_m	 lambda_k_M	     mu_k_M	     mu_k_m
0.00000	0.00000	0.00001	0.00002	348.89088	0.00001
0.00000	0.00000	0.00000	0.00001	0.00005	0.00001
42807.70286	50001.17059	0.00001	0.00001	0.00001	0.00001
43159.39500	49856.42711	46128.14944	46189.59976	0.00002	0.00001
43372.65349	49724.65525	46101.75614	46216.61668	0.00002	0.00001
43327.64005	49757.34902	0.00001	0.00001	556.96607	0.00001
43024.22913	49687.49303	46157.35932	46161.65867	0.00010	0.00001
123525.36746	130188.63147	0.00002	0.00001	12.13430	0.00001
43127.89866	49771.44545	46172.49050	46151.53323	34.71101	0.00001
43170.10090	49813.93643	46159.58995	46164.61098	0.00008	0.00001
43196.54770	49757.07552	46153.55511	46171.24320	0.00007	0.00001
43251.08653	49793.90009	126548.55158	126610.05357	0.00005	0.00001
43243.62667	49830.88257	46122.38426	46194.19405	0.00004	0.00001
43038.35815	49794.48991	46133.68407	46199.98538	0.00003	0.00001
N/W Mat Eig	Dual Mat Eig
-0.00000	0.00000
-0.00000	0.00000
0.00015	0.00000
0.00015	0.00000
19.30402	0.00000
19.30402	0.00000
194.30954	0.00000
194.30954	0.00000
7907.24596	0.00000
7907.24596	0.00000
15929.20196	0.00000
15929.20196	0.00000
22279.00147	0.00000
22279.00147	0.00000
27798.29795	0.00000
27798.29795	0.00000
33561.27268	0.00000
33561.27268	0.00000
46322.39025	0.00000
46322.39025	0.00000
63777.71448	0.00000
63777.71448	0.00000
69113.27822	0.00000
69113.27822	0.00000
95007.20608	0.00301
95007.20608	0.00301
117414.39072	7.61855
117414.39072	7.61855
 Iterations: 25
  Tolerance:0.0000000
Dual Optval:8965.55086518
  Min Eigen:-0.00000003
        Binding Const. Upper Voltage Limit at Bus:	  6
                  Bus Voltage Components
1st Eig	2nd Eig	3rd Eig	4th Eig
  2	  1	  3	0.000	-0.992	-0.992	-0.308	-0.308
  2	  3	  4	0.000	0.748	0.748	0.231	0.231
  2	  4	  5	0.000	0.594	0.594	0.176	0.176
  2	  5	  6	0.000	0.458	0.458	0.158	0.158
  3	  2	  7	0.000	-0.724	-0.724	-0.224	-0.224
  3	  4	  8	0.000	-0.216	-0.216	-0.074	-0.074
  4	  2	  9	0.000	-0.575	-0.575	-0.171	-0.171
  4	  3	 10	0.000	0.219	0.219	0.075	0.075
  4	  5	 11	0.000	-0.570	-0.570	-0.077	-0.077
  4	  7	 12	0.000	0.265	0.265	-6.771	-6.771
  4	  9	 13	0.000	0.158	0.158	0.696	0.696
  5	  1	 14	0.000	-0.619	-0.619	-0.203	-0.203
  5	  2	 15	0.000	-0.447	-0.447	-0.154	-0.154
  5	  4	 16	0.000	0.575	0.575	0.077	0.077
  5	  6	 17	0.000	0.376	0.376	1.550	1.550
  6	  5	 18	0.000	-0.376	-0.376	-1.550	-1.550
  6	 11	 19	0.000	0.074	0.074	0.108	0.108
  6	 12	 20	0.000	0.069	0.069	0.074	0.074
  6	 13	 21	0.000	0.166	0.166	0.182	0.182
  7	  4	 22	0.000	-0.265	-0.265	6.771	6.771
  7	  8	 23	0.000	0.000	0.000	0.001	0.001
  7	  9	 24	0.000	0.313	0.313	-10.987	-10.987
  8	  7	 25	0.000	-0.000	-0.000	-0.001	-0.001
  9	  4	 26	0.000	-0.158	-0.158	-0.696	-0.696
  9	  7	 27	0.000	-0.313	-0.313	10.987	10.987
  9	 10	 28	0.000	0.052	0.052	0.006	0.006
  9	 14	 29	0.000	0.093	0.093	0.076	0.076
 10	  9	 30	0.000	-0.052	-0.052	-0.005	-0.005
 10	 11	 31	0.000	-0.038	-0.038	-0.079	-0.079
 11	  6	 32	0.000	-0.074	-0.074	-0.106	-0.106
 11	 10	 33	0.000	0.039	0.039	0.080	0.080
 12	  6	 34	0.000	-0.068	-0.068	-0.074	-0.074
 12	 13	 35	0.000	0.018	0.018	0.018	0.018
 13	  6	 36	0.000	-0.164	-0.164	-0.180	-0.180
 13	 12	 37	0.000	-0.018	-0.018	-0.018	-0.018
 13	 14	 38	0.000	0.058	0.058	0.081	0.081
 14	  9	 39	0.000	-0.092	-0.092	-0.073	-0.073
 14	 13	 40	0.000	-0.057	-0.057	-0.079	-0.079
                          Optimal Primal
  1st Eig	  2nd Eig	  3rd Eig	  4th Eig
9066.298	9066.298	2658.511	2658.510
